px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-19.0108	9.25341	4.91254	0.37421	-0.334343	-18.6786	9.19191	-18.9193	9.36959	4.71692	1.8751	6.06925
-18.7952	9.33504	4.89249	0.355616	-0.338652	-19.2825	8.98189	-18.6827	9.46154	4.7494	1.80429	1.66631
-18.5367	9.44186	4.95716	0.344337	-0.331364	-18.4242	9.46852	-18.4446	9.54996	4.78028	1.73429	0.7665
-18.2695	9.47552	5.03219	0.291204	-0.391701	-18.1634	8.72444	-18.2049	9.63492	4.80959	1.66514	5.63392
-17.9696	9.61464	5.18206	0.292655	-0.366054	-17.7736	9.72478	-17.9639	9.71643	4.83737	1.59691	3.09329
-17.723	9.71048	5.1442	0.294065	-0.32827	-17.2296	9.97767	-17.7214	9.79457	4.86368	1.52964	2.92663
-17.4451	9.82085	5.224	0.289664	-0.313678	-17.3436	9.88109	-17.4777	9.86936	4.88856	1.46338	0.862292
-17.1946	9.9019	5.23412	0.276682	-0.311583	-17.1554	10.212	-17.2328	9.94087	4.91205	1.39818	0.414779
-16.9203	10.0262	5.3133	0.2808	-0.288838	-16.8876	10.145	-16.9868	10.0091	4.93421	1.33408	0.995615
-16.6625	10.0978	5.31646	0.266122	-0.288949	-16.5958	10.1078	-16.7396	10.0743	4.95507	1.27113	0.0370081
-16.417	10.1999	5.32616	0.265685	-0.273713	-16.5153	10.3091	-16.4915	10.1362	4.97469	1.20937	1.17293
-16.1565	10.273	5.34662	0.251348	-0.277924	-16.09	10.5824	-16.2424	10.1952	4.99311	1.14883	0.470331
-15.9298	10.286	5.25554	0.219666	-0.298485	-16.006	10.1843	-15.9924	10.2511	5.01039	1.08956	1.0614
-15.6814	10.3526	5.2288	0.213565	-0.282524	-15.7234	10.41	-15.7416	10.3041	5.02655	1.03159	0.275164
-15.4705	10.3346	5.10551	0.174256	-0.311874	-15.5699	10.1904	-15.4899	10.3543	5.04166	0.974957	2.02072
-15.1682	10.3661	5.2505	0.14017	-0.349681	-14.2385	10.9109	-15.2376	10.4016	5.05576	0.919692	7.7068
-14.9085	10.4186	5.26172	0.129707	-0.341737	-14.9365	10.4722	-14.9846	10.4462	5.06889	0.865828	0.205419
-14.6689	10.451	5.14154	0.127698	-0.303029	-14.724	9.63507	-14.7309	10.4882	5.0811	0.813394	6.51908
-14.4329	10.4106	5.06774	0.0847134	-0.335376	-14.4088	10.222	-14.4766	10.5276	5.09243	0.762418	2.18472
-14.1732	10.4346	5.07278	0.07104	-0.329353	-13.9005	10.5238	-14.2218	10.5645	5.10293	0.712926	0.549539
-13.8582	10.5929	5.24935	0.111343	-0.261938	-13.8049	10.9383	-13.9665	10.5989	5.11263	0.664944	7.75893
-13.6041	10.6541	5.19163	0.123977	-0.21447	-13.3956	10.7857	-13.7107	10.631	5.12159	0.618496	2.07092
-13.3591	10.6484	5.15217	0.0985706	-0.231554	-13.3556	10.5517	-13.4545	10.6608	5.12983	0.573603	0.571727
-13.0959	10.6739	5.17197	0.0862198	-0.234266	-12.9374	10.8137	-13.1979	10.6884	5.13741	0.530288	0.212057
-12.8391	10.7688	5.20757	0.104296	-0.200557	-12.9591	11.0099	-12.9409	10.7138	5.14436	0.48857	4.01929
-12.5733	10.8207	5.21372	0.108513	-0.178676	-12.2518	11.2495	-12.6836	10.7373	5.15071	0.448467	1.39375
-12.3457	10.7813	5.128	0.0729308	-0.20924	-12.3713	10.6091	-12.426	10.7587	5.15651	0.409997	1.89301
-12.0907	10.8168	5.10455	0.0754911	-0.18579	-11.9352	10.9161	-12.1681	10.7783	5.16179	0.373177	0.602119
-11.843	10.8816	5.11537	0.0847879	-0.165109	-11.9451	11.0515	-11.91	10.7961	5.16658	0.338022	2.12749
-11.565	10.9031	5.15628	0.0768194	-0.164542	-10.9703	10.9676	-11.6516	10.8121	5.17092	0.304546	2.6808
-11.3395	10.915	5.09969	0.0655621	-0.168499	-11.4548	10.9407	-11.393	10.8265	5.17484	0.272761	0.772932
-11.0729	10.8505	5.2133	-0.0013823	-0.273849	-11.3472	10.5111	-11.1342	10.8394	5.17836	0.242681	9.38746
-10.7774	10.8248	5.26382	-0.0238996	-0.282892	-10.6009	10.6823	-10.8753	10.8509	5.18153	0.214317	2.71487
-10.5221	10.8218	5.24319	-0.0345541	-0.276559	-10.6563	10.8369	-10.6161	10.8609	5.18435	0.187679	0.205646
-10.291	10.8141	5.19143	-0.0481524	-0.277125	-10.4142	10.8747	-10.3569	10.8697	5.18687	0.162776	1.01346
-10.0466	10.8664	5.07423	-0.0161765	-0.19504	-9.90413	11.2255	-10.0976	10.8772	5.1891	0.139618	6.6158
-9.78342	10.9155	5.10868	-0.0039174	-0.170019	-9.83445	11.1032	-9.83809	10.8837	5.19106	0.118212	2.11131
-9.5582	10.8925	5.04231	-0.0205475	-0.177527	-10.195	10.3498	-9.57852	10.8891	5.19278	0.0985664	3.89267
-9.29481	10.9207	5.07319	-0.0153578	-0.161625	-9.3066	11.0348	-9.31887	10.8936	5.19428	0.0806865	0.752033
-9.05307	10.8986	5.03107	-0.0272984	-0.160786	-9.2226	10.3527	-9.05915	10.8972	5.19557	0.0645787	2.56633
-8.78497	10.9324	5.0731	-0.0182264	-0.141548	-8.78899	11.0707	-8.79937	10.9001	5.19667	0.050248	1.10175
-8.55004	10.887	5.02509	-0.0412117	-0.158279	-8.83914	10.0319	-8.53953	10.9023	5.19759	0.0376992	6.31978
-8.39416	10.8041	4.83636	-0.0818548	-0.195863	-8.62045	10.6577	-8.27965	10.9039	5.19835	0.0269359	4.6508
-8.14665	10.8139	4.82316	-0.0728365	-0.165242	-7.91543	11.1157	-8.01974	10.905	5.19896	0.0179617	1.53211
-7.79569	10.868	5.03687	-0.0458622	-0.123893	-7.51971	11.0005	-7.75979	10.9057	5.19942	0.0107791	5.94919
-7.53426	10.8684	5.02348	-0.0376397	-0.0946179	-7.25987	10.6458	-7.49981	10.9061	5.19975	0.00539029	2.09664
-7.25479	10.8585	5.07485	-0.0407695	-0.0924058	-7.15631	10.815	-7.23983	10.9063	5.19994	0.00179692	0.640783
-7.0205	10.8901	4.9967	-0.0147229	-0.0365775	-7.39396	11.0181	-6.97983	10.9064	5.2	-7.84874e-15	3.69845
